epoch,train_mse,val_mse,val_r2
69,55256877538305.97,63596046.115384616,-55.3268849509217
70,55235267543562.84,61475560.461538464,-53.89888740858292
71,55201280564404.62,63561975.07692308,-55.67889819584056
72,55172246250605.07,65604418.07692308,-57.65006788906099
73,55141869242496.22,71249320.3076923,-62.281594980686684
74,55123355179792.42,79766299.61538461,-70.40927404670674
75,55079799543190.08,99367854.46153846,-87.03421035016429
76,55047670947250.8,98317560.76923077,-86.52122300729432
77,55012937554282.24,118843663.76923077,-104.45199683742146
78,54977572222115.26,127572831.0,-112.25424619380497
79,54942212299601.07,135457918.30769232,-119.46558915009578
80,54906496418580.19,138333976.6153846,-122.53096191076462
81,54867573563497.86,161743165.23076922,-142.67145023109043
82,54833903597546.61,171465409.23076922,-151.56946541798
83,54789965480186.695,197157104.92307693,-174.0138587251752
84,54748459796511.125,216748684.46153846,-191.27227203383327
85,54709327991218.414,229993294.46153846,-203.1440548229948
86,54664552778898.44,247894838.15384614,-218.99351107236933
87,54620076566409.586,273860104.46153843,-241.83069046584782
88,54575372092745.77,296463520.9230769,-261.8113698817818
89,54529253323653.86,332991917.6923077,-293.96620429091445
90,54486439645649.45,333244409.53846157,-294.8270467664002
91,54435181185063.04,377959793.0769231,-334.14938287420966
92,54386859241988.74,406835182.15384614,-359.870453113315
93,54335273009630.0,431822733.84615386,-382.1197746457721
94,54284063005694.0,467633484.9230769,-413.76194391484455
95,54231993740608.52,497148332.61538464,-440.0437803290868
96,54179021182511.414,538684873.8461539,-476.6331850685559
97,54123367708472.51,575010363.3846154,-508.76329828526093
98,54078979844224.57,595136973.5384616,-527.3190360210632
99,54010767320880.7,642137486.1538461,-568.6289759870448
100,53955447935443.84,655171186.4615384,-581.2598912660123
101,53893721472353.3,717602657.2307693,-635.5200500274841
102,53833030005663.875,755841816.6153846,-669.3400761093517
103,53771281524021.26,839065003.6923077,-742.6453233620364
104,53717291053456.39,844376123.0769231,-749.0024689301484
105,53644399682809.414,971611854.1538461,-860.112967492454
106,53582000071457.65,949186866.4615384,-842.6597374903196
107,53513352472883.92,1046676454.1538461,-927.2999911083219
108,53466560360445.26,1052969243.6923077,-936.0697142898323
109,53376705444792.0,1122929591.3846154,-996.1969842456143
110,53306014850182.12,1170722644.9230769,-1038.0520533983224
111,53237403582021.02,1351972755.6923077,-1196.8625757806878
112,53161198667560.086,1373200195.6923077,-1217.2588892998433
113,53092620363843.22,1392824379.0769231,-1236.9837269057539
114,53012495584362.98,1513073750.1538463,-1342.163539826029
115,52936821823865.805,1714053378.4615386,-1517.4516404750514
116,52859403547040.47,1757656633.8461537,-1557.0561267657295
117,52789563299923.45,1773777543.3846154,-1575.318990459282
118,52699304536711.84,1857459604.9230769,-1647.954994258705
119,52616764177864.625,2153709694.769231,-1906.2419684504036
120,52533330873246.266,2292990884.923077,-2028.1391106256203
121,52453963017221.96,2564674523.076923,-2268.0475049474817
122,52364551304464.16,2613165838.769231,-2311.4153561910553
123,52276747134317.65,2771340640.0,-2451.240701327851
124,52188714007952.78,2617691687.3846154,-2318.1556913359886
125,52122175399570.39,3095899662.769231,-2738.4289719623157
126,52008425882725.96,3096176187.076923,-2739.7100633169675
127,51916529720458.04,3345396516.923077,-2959.172916940659
128,51821421750900.39,3392151328.0,-3001.7350562303136
129,51728248310144.0,3564036029.5384617,-3154.1821257786673
130,51629597191724.04,3643725981.5384617,-3225.5197892496903
131,51533216319971.45,3839938395.076923,-3398.7414082841424
132,51433742960543.375,3975294306.4615383,-3519.7359047672157
133,51331356850753.26,3779228775.3846154,-3352.9652657854153
134,51294009447681.26,4157301937.230769,-3685.436916279892
135,51130616713149.49,4547121853.538462,-4025.0891035579184
136,51056227337066.266,4565775155.692307,-4048.263738143134
137,50922455746735.06,4475624228.923077,-3971.9026878465284
138,50853661804729.1,4907021587.692307,-4351.9117593434685
139,50706598614756.7,5439835889.230769,-4814.134621156534
140,50598752772068.39,5405680526.769231,-4792.234422519454
141,50487349654328.47,5472928211.692307,-4858.390454078832
142,50373014651071.375,5403646173.538462,-4797.363560209751
143,50311805925894.414,6229411121.230769,-5518.917072277794
144,50145698787746.35,6525684204.307693,-5778.332173696921
145,50028847488911.06,7115024836.923077,-6293.380894350575
146,49916119569616.31,7081687739.076923,-6276.294892418641
147,49791301577497.26,7279099490.461538,-6455.680495496923
148,49670725608480.31,7590061774.769231,-6724.246924988642
149,49564234123066.35,7729137723.076923,-6857.68005634099
150,49424657026064.31,8297459731.692307,-7355.197168838823
151,49299940197339.61,8165067697.230769,-7242.789169358078
152,49181245739866.35,9021212819.692308,-7991.458647821178
153,49042222561594.98,9155597213.538462,-8116.440275723841
154,48915364745227.92,9318474712.615385,-8269.621240667642
155,48781974504627.45,9665713624.615385,-8573.431633116901
156,48650919977812.49,9985030862.76923,-8858.494602261795
157,48515183662785.26,10335800152.615385,-9162.88689115478
158,48380416056020.805,10671914220.307692,-9460.307048795301
159,48263961433962.664,11276244942.76923,-9992.080343819773
160,48106998950084.7,11359489191.384615,-10078.507503134348
161,47967683323178.664,11857737737.846153,-10519.143728217929
162,47827069107635.27,12547156854.153847,-11113.019742090755
163,47684079120588.55,13216625270.153847,-11698.192176932132
164,47544059932889.1,13980090289.23077,-12370.71533222955
165,47394543355271.53,14085035244.307692,-12468.425374379067
166,47254167145943.84,14507501981.538462,-12848.508708867426
167,47099776078564.39,15206188219.076923,-13456.626456473776
168,46951238258143.375,15163030370.461538,-13443.201645145184
169,46799688843169.88,16371523131.076923,-14482.602267877784
170,46647983483890.94,16904229100.307692,-14954.5694116939
171,46495082943320.31,16945579086.76923,-14998.931496334539
172,46392939113031.38,17947804317.53846,-15894.039398715462
173,46186336031578.04,18462265540.923077,-16346.707413035047
174,46028782219615.375,17975851480.615383,-15938.980823867483
175,45869160057833.414,17973297664.0,-15953.219001297788
176,45728304488598.9,19649050939.076923,-17407.511229450767
177,45546896949428.39,20124133336.615383,-17820.933200153995
178,45392971436102.27,20900505757.53846,-18515.82114751623
